id,volume_pixels,z,y,x,volume_um3
1,169,1.9112426035502958,17.171597633136095,18.307692307692307,169.0
2,3070,14.508794788273615,58.305537459283386,20.657654723127035,3070.0
3,636,2.6635220125786163,48.49528301886792,10.287735849056604,636.0
4,2427,18.188298310671613,42.28018129377833,21.486608982282654,2427.0
5,382,9.479057591623036,4.696335078534031,20.00785340314136,382.0
6,27,11.37037037037037,33.888888888888886,0.0,27.0
7,541,14.872458410351202,27.67097966728281,29.828096118299445,541.0
8,35,11.4,40.31428571428572,39.114285714285714,35.0
9,32844,25.534800876872488,65.41898063573255,72.05830593106808,32844.0
10,131,1.015267175572519,39.6412213740458,94.16030534351145,131.0
11,1382,10.070188133140377,3.8632416787264834,86.34876989869754,1382.0
12,22,10.5,47.18181818181818,99.0,22.0
13,380,13.452631578947368,29.426315789473684,97.2421052631579,380.0
14,421,16.724465558194776,32.40855106888361,86.68883610451306,421.0
15,396,5.474747474747475,73.52272727272727,1.2095959595959596,396.0
16,9172,14.188617531617968,92.94646750981248,30.088748364587875,9172.0
17,4654,6.074129780833691,88.94348947142244,84.5118177911474,4654.0
18,4348,34.547608095676175,77.71366145354186,33.1630634774609,4348.0
19,166,1.144578313253012,97.12650602409639,95.29518072289157,166.0
20,9,12.555555555555555,60.77777777777778,99.0,9.0
21,2268,22.633597883597883,95.09347442680776,78.76940035273368,2268.0
22,6444,43.23805090006207,73.75,16.196927374301676,6444.0
23,329,36.483282674772035,51.01823708206687,49.27355623100304,329.0
24,499,39.450901803607216,18.607214428857716,37.234468937875754,499.0
25,204,41.279411764705884,50.63235294117647,1.2058823529411764,204.0
26,16,44.625,38.625,52.8125,16.0
27,23,44.73913043478261,36.17391304347826,44.91304347826087,23.0
28,335,47.73134328358209,49.58507462686567,48.788059701492536,335.0
29,108,48.333333333333336,38.22222222222222,12.75925925925926,108.0
30,84,48.476190476190474,51.904761904761905,24.416666666666668,84.0
31,67,48.61194029850746,21.44776119402985,21.46268656716418,67.0
32,1,14.0,50.0,99.0,1.0
33,29,16.137931034482758,27.482758620689655,78.48275862068965,29.0
34,2214,34.15447154471545,25.20189701897019,91.80442637759711,2214.0
35,526,27.73574144486692,27.55893536121673,74.39733840304183,526.0
36,1,37.0,54.0,78.0,1.0
37,767,45.625814863102995,21.066492829204694,75.4993481095176,767.0
38,797,46.09159347553325,15.513174404015057,95.57340025094103,797.0
39,141,47.787234042553195,42.177304964539005,98.28368794326241,141.0
40,4763,41.77808104136049,79.89691370984673,51.03821121142137,4763.0
41,247,25.178137651821864,80.1417004048583,21.008097165991902,247.0
42,77,30.038961038961038,98.14285714285714,50.94805194805195,77.0
43,295,33.43728813559322,83.70847457627119,9.92542372881356,295.0
44,724,44.680939226519335,95.04558011049724,94.22237569060773,724.0
45,135,45.12592592592593,81.66666666666667,98.22962962962963,135.0
