id,z,y,x,volume_pixels,volume_um3
1,0.6,0.0,8.4,5.0,5.0
2,0.16666666666666666,2.5,16.166666666666668,12.0,12.0
3,0.7142857142857143,3.857142857142857,0.5714285714285714,7.0,7.0
4,2.5402298850574714,7.942528735632184,12.264367816091953,87.0,87.0
5,0.631578947368421,7.894736842105263,3.6315789473684212,19.0,19.0
6,0.0,11.0,5.0,1.0,1.0
7,1.1153846153846154,15.711538461538462,3.8653846153846154,52.0,52.0
8,4.044444444444444,21.644444444444446,9.666666666666666,45.0,45.0
9,3.5555555555555554,0.3333333333333333,4.222222222222222,9.0,9.0
10,4.083333333333333,0.6666666666666666,25.25,12.0,12.0
11,2.5,2.0,2.0,2.0,2.0
12,3.525,3.825,21.5,40.0,40.0
13,2.0,5.0,18.0,1.0,1.0
14,7.225806451612903,0.5483870967741935,9.806451612903226,31.0,31.0
15,3.0,9.0,1.5,2.0,2.0
16,4.6875,10.375,4.0,16.0,16.0
17,4.5,0.0,27.0,2.0,2.0
18,5.0,7.888888888888889,0.5555555555555556,9.0,9.0
19,7.2727272727272725,12.636363636363637,0.2727272727272727,11.0,11.0
20,5.48,19.44,4.04,25.0,25.0
21,8.17142857142857,14.814285714285715,6.5285714285714285,70.0,70.0
22,14.104938271604938,24.40740740740741,18.314814814814813,162.0,162.0
23,8.323529411764707,26.294117647058822,24.676470588235293,34.0,34.0
24,14.02547770700637,7.114649681528663,2.6878980891719744,157.0,157.0
25,8.428571428571429,0.42857142857142855,0.5714285714285714,7.0,7.0
26,8.25,0.0,25.0,4.0,4.0
27,8.0,1.0,27.0,1.0,1.0
28,9.366666666666667,17.8,0.8333333333333334,30.0,30.0
29,9.5,0.0,27.0,2.0,2.0
30,9.0,25.0,11.0,1.0,1.0
31,14.206349206349206,24.3015873015873,6.412698412698413,126.0,126.0
32,11.0,16.0,3.0,1.0,1.0
33,10.476744186046512,19.25581395348837,72.48837209302326,172.0,172.0
34,14.555404432354589,62.5209216737339,48.32258580686455,12499.0,12499.0
35,0.8141025641025641,77.91666666666667,50.07051282051282,156.0,156.0
36,15.330264672036824,77.65822784810126,80.66398158803221,869.0,869.0
37,4.392727272727273,83.78909090909092,95.34181818181818,275.0,275.0
38,1.5555555555555556,91.14814814814815,98.5925925925926,27.0,27.0
39,14.0,0.6,1.0,5.0,5.0
40,17.0,27.0,7.0,1.0,1.0
41,19.5625,25.0625,4.1875,16.0,16.0
42,19.5,24.0,7.0,2.0,2.0
43,19.5,27.0,18.5,4.0,4.0
44,20.0,23.0,6.0,1.0,1.0
45,26.0,5.0,2.0,1.0,1.0
46,26.666666666666668,5.666666666666667,1.0,3.0,3.0
47,24.75147928994083,74.50295857988165,67.46153846153847,169.0,169.0
48,26.097560975609756,87.32926829268293,32.74390243902439,82.0,82.0
49,26.535714285714285,98.28571428571429,5.535714285714286,28.0,28.0
50,21.65625,91.84375,49.0,96.0,96.0
51,23.428571428571427,90.42857142857143,28.285714285714285,7.0,7.0
